大類代碼,大類,細類代碼,細類
G,批發及零售業,4642,電子、通訊設備及其零組件批發業
G,批發及零售業,4643,農用及工業用機械設備批發業
G,批發及零售業,4644,辦公用機械器具批發業
G,批發及零售業,4649,其他機械器具批發業
G,批發及零售業,4651,汽車批發業
G,批發及零售業,4652,機車批發業
G,批發及零售業,4653,汽機車零配件及用品批發業
G,批發及零售業,4691,回收物料批發業
G,批發及零售業,4699,未分類其他專賣批發業
G,批發及零售業,4711,連鎖便利商店
G,批發及零售業,4712,百貨公司
G,批發及零售業,4719,其他綜合商品零售業
G,批發及零售業,4721,蔬果零售業
G,批發及零售業,4722,肉品零售業
G,批發及零售業,4723,水產品零售業
G,批發及零售業,4729,其他食品、飲料及菸草製品零售業
G,批發及零售業,4731,布疋零售業
G,批發及零售業,4732,服裝及其配件零售業
G,批發及零售業,4733,鞋類零售業
G,批發及零售業,4739,其他服飾品零售業
G,批發及零售業,4741,家用電器零售業
G,批發及零售業,4742,家具零售業
G,批發及零售業,4743,家飾品零售業
G,批發及零售業,4744,鐘錶及眼鏡零售業
G,批發及零售業,4745,珠寶及貴金屬製品零售業
G,批發及零售業,4749,其他家用器具及用品零售業
G,批發及零售業,4751,藥品及醫療用品零售業
G,批發及零售業,4752,化粧品零售業
G,批發及零售業,4761,書籍及文具零售業
G,批發及零售業,4762,運動用品及器材零售業
G,批發及零售業,4763,玩具及娛樂用品零售業
G,批發及零售業,4764,影音光碟零售業
G,批發及零售業,4810,建材零售業
G,批發及零售業,4821,加油及加氣站
G,批發及零售業,4829,其他燃料及相關產品零售業
G,批發及零售業,4831,電腦及其週邊設備、軟體零售業
G,批發及零售業,4832,通訊設備零售業
G,批發及零售業,4833,視聽設備零售業
G,批發及零售業,4841,汽車零售業
G,批發及零售業,4842,機車零售業
G,批發及零售業,4843,汽機車零配件及用品零售業
G,批發及零售業,4851,花卉零售業
G,批發及零售業,4852,其他全新商品零售業
G,批發及零售業,4853,中古商品零售業
G,批發及零售業,4861,食品、飲料及菸草製品之零售攤販
